OBJECTID,REF_NO_,WELL_NO_,SPUD_LATID,SPUD_LONGI,DDLATITUDE,DDLONGITUD,WELL_CLASS,AREA,OPERATOR,RIG_NAME,TD__MD_,RIG_DATUM,WATER_DEPT,UNIT,SPUD_DATE,RIG_RELEAS,WELL_STATU
85,85,35/19-1,"52° 26' 16.300""N","12° 16' 46.400""W",52.4378611,-12.2795556,Exploration,Porcupine Basin,Britoil,High Seas Driller,18210,85,1571,ft,08/04/1985,12/09/1985,P & A with/without shows or untested pay
86,86,49/14-3,"51° 37' 57.900""N","07° 19' 32.190""W",51.63275,-7.3256083,Exploration,North Celtic Sea Basin,Esso,Sedco 704,11715,85,254,ft,30/04/1985,18/08/1985,P & A with/without shows or untested pay
87,87,48/18-1,"51° 25' 30.170""N","08° 25' 21.640""W",51.4250472,-8.4226778,Exploration,North Celtic Sea Basin,BP,Ali Baba,1370,25,90,m,09/05/1985,26/06/1985,P & A Oil & Gas Well
88,88,49/15-1,"51° 39' 31.46""N","07°03' 35.190""W",51.6587389,-7.059775,Exploration,North Celtic Sea Basin,Esso,Sedco 704,7000,85,249,ft,19/08/1985,19/09/1985,P & A with/without shows or untested pay
89,89,50/6-1,"51° 45' 26.053""N","06° 51' 01.336""W",51.7572369,-6.8503711,Exploration,North Celtic Sea Basin,Gulf,Glomar Arctic I,7750,85,240,ft,19/10/1985,03/02/1986,P & A Oil Well
90,90,42/12-1,"52° 36' 51.151""N","05° 47' 36.677""W",52.6142086,-5.7935214,Exploration,Central Irish Sea Basin,HIL,Western Apollo I,9265,108,206,ft,08/03/1986,16/05/1986,P & A with/without shows or untested pay
91,91,49/13-2,"51°39' 46.76""N","07° 26' 26.230""W",51.6629889,-7.4406194,Exploration,North Celtic Sea Basin,Marathon,Western Pacesetter IV,5274,84,263,ft,28/04/1986,12/06/1986,P & A with/without shows or untested pay
92,92,33/17-1,"53° 22' 8.045""N","05° 36' 26.736""W",53.3689014,-5.6074267,Exploration,Kish Bank Basin,Charterhouse,Western Apollo I,6660,110,236,ft,18/05/1986,20/06/1986,P & A with/without shows or untested pay
93,93,50/3-2,"51° 53' 21.304""N","06° 31' 44.959""W",51.8892511,-6.5291553,Exploration,North Celtic Sea Basin,Enterprise Oil,Western Pacesetter IV,6520,86,229,ft,14/06/1986,29/07/1986,P & A with/without shows or untested pay
94,94,42/21-1,"52° 11' 18.530""N","05° 59' 00.440""W",52.1884806,-5.9834556,Exploration,North Celtic Sea Basin,Gulf,Ali Baba,6650,84,295,ft,28/07/1986,09/09/1986,P & A with/without shows or untested pay
